Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
14-Sep,7:30 PM,Bethune-Cookman at Miami-FL,Miami,58.8,100%,59-0,,,,,,
14-Sep,7:30 PM,Navy at Memphis,Memphis,27.4,94%,39-12,Memphis -15,Memphis,12.4,47.5,Over,3.6
15-Sep,7:00 PM,Army at UTSA,UTSA,8.8,69%,29-20,UTSA -10.5,Army,1.7,46,Over,3.6
15-Sep,7:00 PM,Virginia at Maryland,Maryland,23,91%,34-11,Maryland -13.5,Maryland,9.5,50.5,Under,-4.6
15-Sep,8:00 PM,Utah State at Air Force,Air Force,13.6,78%,27-13,Air Force -9,Air Force,4.6,47,Under,-6.9
16-Sep,12:00 PM,Central Connecticut at Kent State,Kent St.,13.7,79%,28-14,,,,,,
16-Sep,12:00 PM,Florida State at Boston College,FSU,29.4,96%,41-12,FSU -28.5,Florida State,0.9,56.5,Under,-3.6
16-Sep,12:00 PM,Georgia Southern at Wisconsin,Wisconsin,19.4,87%,38-19,Wisconsin -16,Wisconsin,3.4,63,Under,-6.1
16-Sep,12:00 PM,Indiana vs. Louisville,Louisville,16,82%,34-18,Louisville -10,Louisville,6,54,Under,-2.2
16-Sep,12:00 PM,Iowa State at Ohio,ISU,11.2,74%,27-16,ISU -2.5,Iowa State,8.7,44.5,Under,-1.1
16-Sep,12:00 PM,Kansas State at Missouri,K-State,10.2,72%,30-20,K-State -5.5,Kansas State,4.7,46,Over,3.9
16-Sep,12:00 PM,Liberty at Buffalo,Liberty,7.6,67%,32-25,Liberty -3.5,Liberty,4.1,56.5,Over,0.1
16-Sep,12:00 PM,Long Island at Baylor,Baylor,49.4,100%,51-2,,,,,,
16-Sep,12:00 PM,LSU at Mississippi State,LSU,1.2,53%,29-28,LSU -9,Mississippi State,7.8,53,Over,4
16-Sep,12:00 PM,North Dakota at Boise State,Boise St.,11.1,74%,34-23,,,,,,
16-Sep,12:00 PM,Penn State at Illinois,Penn St.,19.4,87%,33-14,Penn St. -15.5,Penn State,3.9,48,Under,-1.2
16-Sep,12:00 PM,Wake Forest at Old Dominion,Wake,21.8,90%,37-15,Wake -14.5,Wake Forest,7.3,59.5,Under,-8.2
16-Sep,2:00 PM,Indiana State at Ball State,Ball St.,23.8,92%,34-10,,,,,,
16-Sep,2:00 PM,Massachusetts at Eastern Michigan,EMU,12.2,76%,31-19,EMU -9.5,Eastern Michigan,2.7,53,Under,-3.7
16-Sep,2:00 PM,Norfolk State at Temple,Temple,27.2,94%,39-12,,,,,,
16-Sep,2:00 PM,VMI at NC State,NC St.,42.8,99%,43-0,,,,,,
16-Sep,2:00 PM,Weber State at Utah,Utah,25.2,93%,40-15,,,,,,
16-Sep,2:30 PM,Central Michigan at Notre Dame,Notre Dame,40.3,99%,45-5,Notre Dame -33.5,Notre Dame,6.8,55,Under,-5.6
16-Sep,3:30 PM,Alabama at USF,Alabama,36.8,98%,48-11,Alabama -32,Alabama,4.8,61.5,Under,-2.2
16-Sep,3:30 PM,East Carolina at Appalachian State,App. St.,13,77%,33-20,App. St. -9.5,Appalachian State,3.5,50.5,Over,3.1
16-Sep,3:30 PM,Florida International at Connecticut,FIU,0.5,51%,24-24,UConn -10,Florida International,10.5,46.5,Over,1.6
16-Sep,3:30 PM,Minnesota at North Carolina,UNC,6.4,64%,28-22,UNC -6.5,Minnesota,0.1,49,Over,0.5
16-Sep,3:30 PM,Northwestern at Duke,Duke,18.5,86%,32-13,Duke -20,Northwestern,1.5,46.5,Under,-1.9
16-Sep,3:30 PM,Oklahoma at Tulsa,Oklahoma,33,97%,46-13,Oklahoma -26,Oklahoma,7,59.5,Under,-0.1
16-Sep,3:30 PM,San Diego State at Oregon State,Oregon St.,27.9,95%,38-10,Oregon St. -22.5,Oregon State,5.4,47,Over,1.4
16-Sep,3:30 PM,South Carolina at Georgia,UGA,22.9,91%,39-16,UGA -26.5,South Carolina,3.6,55,Over,0.2
16-Sep,3:30 PM,Virginia Tech at Rutgers,Rutgers,7.1,66%,25-18,Rutgers -4.5,Rutgers,2.6,40,Over,3.6
16-Sep,3:30 PM,Western Michigan at Iowa,Iowa,31.2,96%,36-4,Iowa -27,Iowa,4.2,43.5,Under,-3.3
16-Sep,4:00 PM,Idaho at California,Cal,16.8,83%,36-19,,,,,,
16-Sep,4:00 PM,Tulane at Southern Miss,Tulane,18.5,86%,37-18,Tulane -11,Tulane,7.5,52.5,Over,2.8
16-Sep,4:00 PM,UL-Monroe at Texas A&M,Texas A&M,34.2,98%,41-7,Texas A&M -32,Texas A&M,2.2,53.5,Under,-4.8
16-Sep,4:00 PM,Western Kentucky at Ohio State,Ohio St.,33.2,97%,46-12,Ohio St. -27.5,Ohio State,5.7,64,Under,-5.9
16-Sep,5:00 PM,NC Central at UCLA,UCLA,35.4,98%,46-10,,,,,,
16-Sep,5:00 PM,Northern Colorado at Washington State,Wazzu,55.7,100%,56-0,,,,,,
16-Sep,5:00 PM,Washington at Michigan State,Washington,9.6,71%,32-23,Washington -16,Michigan State,6.4,58,Under,-3.2
