Date,GameType,Conf,Team,H/A,Opponent,Score,OppScore,W/L,Margin,PGWE,Adj Mgn
2-Sep,FCS,0,Air Force,H,Robert Morris,42,7,1,35,100.00%,49
9-Sep,Non,0,Air Force,N,Sam Houston,13,3,1,10,99.50%,21.4
15-Sep,Conf,1,Air Force,H,Utah State,39,21,1,18,99.80%,24.1
22-Sep,Conf,1,Air Force,A,San Jose State,45,20,1,25,71.40%,4.7
30-Sep,Conf,1,Air Force,H,San Diego State,49,10,1,39,100.00%,40.2
14-Oct,Conf,1,Air Force,H,Wyoming,34,27,1,7,87.70%,9.7
21-Oct,Non,0,Air Force,A,Navy,17,6,1,11,96.50%,15.1
2-Sep,Non,0,Akron,A,Temple,21,24,0,-3,50.30%,0.1
9-Sep,FCS,0,Akron,H,Morgan State,24,21,1,3,96.50%,15.1
16-Sep,Non,0,Akron,A,Kentucky,3,35,0,-32,0.00%,-37.7
23-Sep,Non,0,Akron,A,Indiana,27,29,0,-2,71.80%,4.8
30-Sep,Conf,1,Akron,H,Buffalo,10,13,0,-3,88.50%,10
7-Oct,Conf,1,Akron,H,Northern Illinois,14,55,0,-41,0.00%,-51.8
14-Oct,Conf,1,Akron,A,Central Michigan,10,17,0,-7,27.80%,-4.9
21-Oct,Conf,1,Akron,A,Bowling Green,14,41,0,-27,3.10%,-15.6
2-Sep,Non,0,Alabama,H,Middle Tennessee,56,7,1,49,100.00%,39
9-Sep,Non,0,Alabama,H,Texas,24,34,0,-10,19.70%,-7.1
16-Sep,Non,0,Alabama,A,USF,17,3,1,14,98.90%,19.2
23-Sep,Conf,1,Alabama,H,Ole Miss,24,10,1,14,99.30%,20.6
30-Sep,Conf,1,Alabama,A,Mississippi State,40,17,1,23,100.00%,30
7-Oct,Conf,1,Alabama,A,Texas A&M,26,20,1,6,75.90%,5.9
14-Oct,Conf,1,Alabama,H,Arkansas,24,21,1,3,98.50%,18.2
21-Oct,Conf,1,Alabama,H,Tennessee,34,20,1,14,87.90%,9.8
2-Sep,FCS,0,Appalachian State,H,Gardner-Webb,45,24,1,21,98.00%,17.2
9-Sep,Non,0,Appalachian State,A,North Carolina,34,40,0,-6,3.00%,-15.7
16-Sep,Non,0,Appalachian State,H,East Carolina,43,28,1,15,99.20%,20
23-Sep,Non,0,Appalachian State,A,Wyoming,19,22,0,-3,24.50%,-5.8
30-Sep,Conf,1,Appalachian State,A,UL-Monroe,41,40,1,1,37.90%,-2.6
10-Oct,Conf,1,Appalachian State,H,Coastal Carolina,24,27,0,-3,50.70%,0.1
21-Oct,Conf,1,Appalachian State,A,Old Dominion,21,28,0,-7,3.70%,-15
2-Sep,FCS,0,Arizona,H,Northern Arizona,38,3,1,35,100.00%,42
9-Sep,Non,0,Arizona,A,Mississippi State,24,31,0,-7,29.70%,-4.5
16-Sep,Non,0,Arizona,H,UTEP,31,10,1,21,100.00%,35
23-Sep,Conf,1,Arizona,A,Stanford,21,20,1,1,81.90%,7.6
30-Sep,Conf,1,Arizona,H,Washington,24,31,0,-7,8.30%,-11.6
7-Oct,Conf,1,Arizona,A,USC,41,43,0,-2,59.60%,2
14-Oct,Conf,1,Arizona,A,Washington State,44,6,1,38,100.00%,31.1
31-Aug,FCS,0,Arizona State,H,Southern Utah,24,21,1,3,89.40%,10.4
9-Sep,Non,0,Arizona State,H,Oklahoma State,15,27,0,-12,2.40%,-16.5
16-Sep,Non,0,Arizona State,H,Fresno State,0,29,0,-29,0.10%,-25.7
23-Sep,Conf,1,Arizona State,H,USC,28,42,0,-14,0.00%,-29
30-Sep,Conf,1,Arizona State,A,California,21,24,0,-3,67.40%,3.8
7-Oct,Conf,1,Arizona State,H,Colorado,24,27,0,-3,44.90%,-1.1
21-Oct,Conf,1,Arizona State,A,Washington,7,15,0,-8,11.50%,-10
2-Sep,FCS,0,Arkansas,H,Western Carolina,56,13,1,43,100.00%,45.4
9-Sep,Non,0,Arkansas,H,Kent State,28,6,1,22,99.20%,20.2
16-Sep,Non,0,Arkansas,H,BYU,31,38,0,-7,29.30%,-4.6
23-Sep,Conf,1,Arkansas,A,LSU,31,34,0,-3,21.70%,-6.5
30-Sep,Conf,1,Arkansas,N,Texas A&M,22,34,0,-12,0.20%,-23.6
7-Oct,Conf,1,Arkansas,A,Ole Miss,20,27,0,-7,5.40%,-13.4
14-Oct,Conf,1,Arkansas,A,Alabama,21,24,0,-3,1.50%,-18.2
21-Oct,Conf,1,Arkansas,H,Mississippi State,3,7,0,-4,24.90%,-5.7
2-Sep,Non,0,Arkansas State,A,Oklahoma,0,73,0,-73,0.00%,-40.3
9-Sep,Non,0,Arkansas State,H,Memphis,3,37,0,-34,0.00%,-33.8
16-Sep,FCS,0,Arkansas State,H,Stony Brook,31,7,1,24,100.00%,34.7
23-Sep,Conf,1,Arkansas State,H,Southern Miss,44,37,1,7,55.20%,1.1
30-Sep,Non,0,Arkansas State,A,Massachusetts,52,28,1,24,99.20%,20.1
7-Oct,Conf,1,Arkansas State,A,Troy,3,37,0,-34,0.00%,-36.3
21-Oct,Conf,1,Arkansas State,H,Coastal Carolina,17,27,0,-10,36.90%,-2.8
2-Sep,Non,0,Army,A,UL-Monroe,13,17,0,-4,28.60%,-4.7
9-Sep,FCS,0,Army,H,Delaware State,57,0,1,57,100.00%,49
15-Sep,Non,0,Army,A,UTSA,37,29,1,8,13.30%,-9.3
23-Sep,Non,0,Army,A,Syracuse,16,29,0,-13,0.00%,-27.6
7-Oct,Non,0,Army,H,Boston College,24,27,0,-3,81.90%,7.6
14-Oct,Non,0,Army,H,Troy,0,19,0,-19,0.00%,-30.5
21-Oct,Non,0,Army,A,LSU,0,62,0,-62,0.00%,-52.7
2-Sep,Non,0,Auburn,H,Massachusetts,59,14,1,45,94.20%,13.1
9-Sep,Non,0,Auburn,A,California,14,10,1,4,97.60%,16.5
16-Sep,FCS,0,Auburn,H,Samford,45,13,1,32,100.00%,36
23-Sep,Conf,1,Auburn,A,Texas A&M,10,27,0,-17,0.00%,-33.3
30-Sep,Conf,1,Auburn,H,Georgia,20,27,0,-7,2.80%,-16
14-Oct,Conf,1,Auburn,A,LSU,18,48,0,-30,0.00%,-35.3
21-Oct,Conf,1,Auburn,H,Ole Miss,21,28,0,-7,14.50%,-8.9
2-Sep,Non,0,Ball State,A,Kentucky,14,44,0,-30,0.00%,-28.4
9-Sep,Non,0,Ball State,A,Georgia,3,45,0,-42,0.00%,-44.7
16-Sep,FCS,0,Ball State,H,Indiana State,45,7,1,38,100.00%,28.8
23-Sep,Non,0,Ball State,H,Georgia Southern,3,40,0,-37,0.00%,-46
30-Sep,Conf,1,Ball State,A,Western Michigan,24,42,0,-18,12.70%,-9.5
7-Oct,Conf,1,Ball State,A,Eastern Michigan,10,24,0,-14,21.50%,-6.6
14-Oct,Conf,1,Ball State,H,Toledo,6,13,0,-7,0.40%,-22.3
21-Oct,Conf,1,Ball State,H,Central Michigan,24,17,1,7,99.30%,20.4
2-Sep,Non,0,Baylor,H,Texas State,31,42,0,-11,36.10%,-3
9-Sep,Non,0,Baylor,H,Utah,13,20,0,-7,24.90%,-5.7
16-Sep,FCS,0,Baylor,H,Long Island,30,7,1,23,94.60%,13.5
23-Sep,Conf,1,Baylor,H,Texas,6,38,0,-32,0.00%,-34
30-Sep,Conf,1,Baylor,A,UCF,36,35,1,1,13.40%,-9.3
7-Oct,Conf,1,Baylor,H,Texas Tech,14,39,0,-25,1.50%,-18.2
21-Oct,Conf,1,Baylor,A,Cincinnati,32,29,1,3,64.50%,3.1
2-Sep,Non,0,Boise State,A,Washington,19,56,0,-37,0.00%,-31.6
9-Sep,Non,0,Boise State,H,UCF,16,18,0,-2,19.20%,-7.3
16-Sep,FCS,0,Boise State,H,North Dakota,42,18,1,24,99.80%,23.5
22-Sep,Conf,1,Boise State,A,San Diego State,34,31,1,3,48.10%,-0.4
30-Sep,Non,0,Boise State,A,Memphis,32,35,0,-3,77.40%,6.3
7-Oct,Conf,1,Boise State,H,San Jose State,35,27,1,8,90.30%,10.9
14-Oct,Conf,1,Boise State,A,Colorado State,30,31,0,-1,72.30%,4.9
2-Sep,Non,0,Boston College,H,Northern Illinois,24,27,0,-3,23.10%,-6.1
9-Sep,FCS,0,Boston College,H,Holy Cross,31,28,1,3,34.90%,-3.2
16-Sep,Conf,1,Boston College,H,Florida State,29,31,0,-2,15.70%,-8.4
23-Sep,Conf,1,Boston College,A,Louisville,28,56,0,-28,0.00%,-32.6
30-Sep,Conf,1,Boston College,H,Virginia,27,24,1,3,59.00%,1.9
7-Oct,Non,0,Boston College,A,Army,27,24,1,3,18.10%,-7.6
21-Oct,Conf,1,Boston College,A,Georgia Tech,38,23,1,15,88.60%,10.1
2-Sep,Non,0,Bowling Green,A,Liberty,24,34,0,-10,17.60%,-7.8
9-Sep,FCS,0,Bowling Green,H,Eastern Illinois,38,15,1,23,100.00%,30.4
16-Sep,Non,0,Bowling Green,A,Michigan,6,31,0,-25,0.00%,-38.6
23-Sep,Conf,1,Bowling Green,H,Ohio,7,38,0,-31,0.00%,-37
30-Sep,Non,0,Bowling Green,A,Georgia Tech,38,27,1,11,22.90%,-6.2
7-Oct,Conf,1,Bowling Green,A,Miami-OH,0,27,0,-27,0.10%,-25.1
14-Oct,Conf,1,Bowling Green,A,Buffalo,24,14,1,10,92.70%,12.2
21-Oct,Conf,1,Bowling Green,H,Akron,41,14,1,27,96.90%,15.6
2-Sep,Non,0,Buffalo,A,Wisconsin,17,38,0,-21,0.50%,-21.7
9-Sep,FCS,0,Buffalo,H,Fordham,37,40,0,-3,71.40%,4.7
16-Sep,Non,0,Buffalo,H,Liberty,27,55,0,-28,0.00%,-28.3
23-Sep,Non,0,Buffalo,A,UL-Lafayette,38,45,0,-7,0.80%,-20
30-Sep,Conf,1,Buffalo,A,Akron,13,10,1,3,11.50%,-10
7-Oct,Conf,1,Buffalo,H,Central Michigan,37,13,1,24,99.80%,24.6
